Module,File,Function/Method,Line Number,Model Affected,Operation Type,Current Execution Path,Creates PendingApproval,Bypasses Approval Engine,Risk Level,Recommended Refactor,Dependencies,Estimated Impact
inventory,inventory/models.py,save,1096,,Save (Create/Update),"def save(self, *args, **kwargs): ||         self.full_clean(exclude=None) ||         super().save(*args, **kwargs) ||  ||     def __str__(self):",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/models.py,send_auditlog_email_notification,1382,ApplicationSetting,Create,if not user or not user.email: ||         return ||  ||     application_settings = ApplicationSetting.objects.first() or ApplicationSetting.objects.create() ||     if not application_settings.email_alerts_enabled: ||         return,No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/reports_views.py,general_report,84,ReportLog,Create,"# Record report generation ||     if 'generate' in request.GET: ||         ReportLog.objects.create(name='General Inventory Report', generated_by=request.user, filters=request.GET.dict()) ||  ||     context = {",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_is_dr_team_matches_case_insensitive_group_names,66,Group,Create,"password='StrongPass123!', ||             role='user', ||         ) ||         Group.objects.create(name='dr team') ||         user.groups.add(Group.objects.get(name='dr team'))",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_warehouse_role_redirects_to_warehouse_dashboard_after_signin,219,Group,Create,"class DualApprovalWorkflowTests(TestCase): ||     def test_warehouse_role_redirects_to_warehouse_dashboard_after_signin(self): ||         group = Group.objects.create(name='Warehouse Ops') ||         user = get_user_model().objects.create_user( ||             username='warehouse-login-user',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_backup_admin_approval_requires_supreme_approver_for_final_release,241,Group,Create,"self.assertRedirects(response, reverse('warehouse-operations-dashboard')) ||  ||     def test_backup_admin_approval_requires_supreme_approver_for_final_release(self): ||         backup_group = Group.objects.create(name='Backup Administrator') ||         supreme_group = Group.objects.create(name='Supreme Approver') ||         backup_admin = get_user_model().objects.create_user(",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_backup_admin_approval_requires_supreme_approver_for_final_release,242,Group,Create,"def test_backup_admin_approval_requires_supreme_approver_for_final_release(self): ||         backup_group = Group.objects.create(name='Backup Administrator') ||         supreme_group = Group.objects.create(name='Supreme Approver') ||         backup_admin = get_user_model().objects.create_user( ||             username='backup-stage-user',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_backup_admin_approval_requires_supreme_approver_for_final_release,256,Tape,Create,"backup_admin.groups.add(backup_group) ||         supreme_approver.groups.add(supreme_group) ||  ||         tape = Tape.objects.create( ||             volser='TAPE-DUAL-001', ||             barcode='BAR-DUAL-001',",No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_backup_admin_approval_requires_supreme_approver_for_final_release,262,CourierProfile,Create,"tape_type='LTO-8', ||             retention_end_date=date(2030, 1, 1), ||         ) ||         courier_profile = CourierProfile.objects.create( ||             courier_id='CR-DUAL-01', ||             full_name='Courier One',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_backup_admin_approval_requires_supreme_approver_for_final_release,267,Shipment,Create,"full_name='Courier One', ||             vehicle_number='V-1001', ||         ) ||         shipment = Shipment.objects.create( ||             shipment_type='Off-Site Transfer', ||             source_location='HQ',",No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_warehouse_operations_dashboard_renders_for_warehouse_roles,308,Group,Create,"self.assertEqual(shipment.approved_by_supreme, supreme_approver) ||  ||     def test_warehouse_operations_dashboard_renders_for_warehouse_roles(self): ||         group = Group.objects.create(name='Warehouse Ops') ||         user = get_user_model().objects.create_user( ||             username='warehouse-role-user',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_supreme_approver_can_access_dashboard_and_view_pending_shipments,325,Group,Create,class SupremeApproverDashboardTests(TestCase): ||     def test_supreme_approver_can_access_dashboard_and_view_pending_shipments(self): ||         supreme_group = Group.objects.create(name='Supreme Approver') ||         backup_group = Group.objects.create(name='Backup Administrator') ||         supreme_user = get_user_model().objects.create_user(,No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_supreme_approver_can_access_dashboard_and_view_pending_shipments,326,Group,Create,"class SupremeApproverDashboardTests(TestCase): ||     def test_supreme_approver_can_access_dashboard_and_view_pending_shipments(self): ||         supreme_group = Group.objects.create(name='Supreme Approver') ||         backup_group = Group.objects.create(name='Backup Administrator') ||         supreme_user = get_user_model().objects.create_user( ||             username='supreme-test-user',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_supreme_approver_can_access_dashboard_and_view_pending_shipments,339,Shipment,Create,"password='StrongPass123!', ||         ) ||         backup_user.groups.add(backup_group) ||         shipment = Shipment.objects.create( ||             shipment_type='Off-Site Transfer', ||             status='Pending',",No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_supreme_approver_review_page_is_read_only_and_approves_pending_request,357,Group,Create,"self.assertContains(response, shipment.shipment_id) ||  ||     def test_supreme_approver_review_page_is_read_only_and_approves_pending_request(self): ||         supreme_group = Group.objects.create(name='Supreme Approver') ||         backup_group = Group.objects.create(name='Backup Administrator') ||         supreme_user = get_user_model().objects.create_user(",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_supreme_approver_review_page_is_read_only_and_approves_pending_request,358,Group,Create,"def test_supreme_approver_review_page_is_read_only_and_approves_pending_request(self): ||         supreme_group = Group.objects.create(name='Supreme Approver') ||         backup_group = Group.objects.create(name='Backup Administrator') ||         supreme_user = get_user_model().objects.create_user( ||             username='supreme-review-user',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_supreme_approver_review_page_is_read_only_and_approves_pending_request,371,Shipment,Create,"password='StrongPass123!', ||         ) ||         backup_user.groups.add(backup_group) ||         shipment = Shipment.objects.create( ||             shipment_type='Off-Site Transfer', ||             status='Approved',",No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_supreme_approver_review_page_is_read_only_and_approves_pending_request,380,PendingApproval,Create,"last_updated_by=backup_user, ||             approval_remarks='Ready for supreme review.', ||         ) ||         approval_request = PendingApproval.objects.create( ||             transaction_type='Shipment', ||             module='Shipment Workflow',",Yes,No,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_operations_dashboard_renders_when_notifications_exist,430,Group,Create,"class BackupDashboardSignedNavigationTests(TestCase): ||     def test_operations_dashboard_renders_when_notifications_exist(self): ||         operations_group = Group.objects.create(name='Operations Manager') ||         operations_user = get_user_model().objects.create_user( ||             username='operations-notifications-user',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_operations_dashboard_renders_when_notifications_exist,437,DashboardFeaturePermission,Create,"password='StrongPass123!', ||         ) ||         operations_user.groups.add(operations_group) ||         DashboardFeaturePermission.objects.create(role=operations_group, feature_key='operations_dashboard', can_view=True) ||         AuditLog.objects.create( ||             name='Exception Alert Forwarded',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",AuditLog,Medium
inventory,inventory/tests.py,test_operations_dashboard_renders_when_notifications_exist,438,DashboardFeaturePermission,Create,") ||         operations_user.groups.add(operations_group) ||         DashboardFeaturePermission.objects.create(role=operations_group, feature_key='operations_dashboard', can_view=True) ||         AuditLog.objects.create( ||             name='Exception Alert Forwarded', ||             action='Forwarded exception alert',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",AuditLog,Medium
inventory,inventory/tests.py,test_operations_dashboard_supports_signed_navigation_for_history_panel,453,Group,Create,"self.assertContains(response, 'Operations Manager Dashboard') ||  ||     def test_operations_dashboard_supports_signed_navigation_for_history_panel(self): ||         operations_group = Group.objects.create(name='Operations Manager') ||         operations_user = get_user_model().objects.create_user( ||             username='operations-signed-nav',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_operations_dashboard_supports_signed_navigation_for_history_panel,460,DashboardFeaturePermission,Create,"password='StrongPass123!', ||         ) ||         operations_user.groups.add(operations_group) ||         DashboardFeaturePermission.objects.create(role=operations_group, feature_key='operations_dashboard', can_view=True) ||         self.client.force_login(operations_user)",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_backup_admin_can_access_signed_navigation_and_feature_module,476,Group,Create,"self.assertEqual(response.context['active_feature_key'], 'operations_dashboard') ||  ||     def test_backup_admin_can_access_signed_navigation_and_feature_module(self): ||         backup_group = Group.objects.create(name='Backup Administrator') ||         backup_admin = get_user_model().objects.create_user( ||             username='backup-admin-access-check',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_shift_reconciliation_allows_multiple_operator_selection,558,Reconciliation,Create,"password='StrongPass123!', ||             role='operations_manager', ||         ) ||         reconciliation = Reconciliation.objects.create( ||             location='Head Office', ||             performed_by=backup_admin,",No,Yes,High,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_dr_team_can_request_reconciliation_from_investigation_dashboard,582,BankBranch,Create,") ||  ||     def test_dr_team_can_request_reconciliation_from_investigation_dashboard(self): ||         branch = BankBranch.objects.create(branch_code='KLA-010', branch_name='Kampala North Branch', status='Active') ||         dr_group = Group.objects.create(name='DR Team') ||         user = get_user_model().objects.create_user(",No,Yes,High,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_dr_team_can_request_reconciliation_from_investigation_dashboard,583,BankBranch,Create,"def test_dr_team_can_request_reconciliation_from_investigation_dashboard(self): ||         branch = BankBranch.objects.create(branch_code='KLA-010', branch_name='Kampala North Branch', status='Active') ||         dr_group = Group.objects.create(name='DR Team') ||         user = get_user_model().objects.create_user( ||             username='dr-requester',",No,Yes,High,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_dr_team_can_request_reconciliation_from_investigation_dashboard,593,Shipment,Create,") ||         user.groups.add(dr_group) ||  ||         shipment = Shipment.objects.create( ||             shipment_type='Off-Site Transfer', ||             status='Approved',",No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_dr_team_can_request_reconciliation_from_investigation_dashboard,601,ShipmentException,Create,"requesting_branch=branch, ||             created_by=user, ||         ) ||         exception = ShipmentException.objects.create( ||             shipment=shipment, ||             exception_type='Missing Tape',",No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_backup_admin_alert_link_can_open_reconciliation_request_context,634,AuditLog,Create,"email='dr-alert-requester@example.com', ||             password='StrongPass123!', ||         ) ||         alert = AuditLog.objects.create( ||             name='Reconciliation Requested', ||             action='Reconciliation requested for exception EXC-TEST-001',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",AuditLog,Medium
inventory,inventory/tests.py,test_backup_admin_can_forward_exception_alert_to_dr_team,655,Group,Create,"self.assertContains(response, 'Please open a reconciliation for review.') ||  ||     def test_backup_admin_can_forward_exception_alert_to_dr_team(self): ||         dr_group = Group.objects.create(name='DR Team') ||         backup_admin = get_user_model().objects.create_superuser( ||             username='backup-admin-forward',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_backup_admin_can_forward_exception_alert_to_dr_team,669,Shipment,Create,") ||         dr_user.groups.add(dr_group) ||  ||         shipment = Shipment.objects.create( ||             shipment_type='Off-Site Transfer', ||             status='Approved',",No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_backup_admin_can_forward_exception_alert_to_dr_team,674,BankBranch,Create,"status='Approved', ||             source_location='Kampala North Branch', ||             destination_location='Mbarara Branch', ||             requesting_branch=BankBranch.objects.create(branch_code='KLA-001', branch_name='Kampala North Branch', status='Active'), ||             created_by=backup_admin, ||         )",No,Yes,High,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_backup_admin_can_forward_exception_alert_to_dr_team,677,BankBranch,Create,"requesting_branch=BankBranch.objects.create(branch_code='KLA-001', branch_name='Kampala North Branch', status='Active'), ||             created_by=backup_admin, ||         ) ||         ShipmentException.objects.create( ||             shipment=shipment, ||             exception_id='EXC-TEST-002',",No,Yes,High,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_backup_admin_can_forward_exception_alert_to_dr_team,687,AuditLog,Create,"status='Open', ||         ) ||  ||         alert = AuditLog.objects.create( ||             name='Shipment Exception Reported', ||             action='Reported exception EXC-TEST-002 for shipment SHP-0001',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",AuditLog,Medium
inventory,inventory/tests.py,test_dr_dashboard_shows_forwarded_exception_notification_without_exception_id,713,Group,Create,") ||  ||     def test_dr_dashboard_shows_forwarded_exception_notification_without_exception_id(self): ||         dr_group = Group.objects.create(name='DR Team') ||         dr_user = get_user_model().objects.create_user( ||             username='dr-forward-display',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_dr_dashboard_shows_forwarded_exception_notification_without_exception_id,722,AuditLog,Create,") ||         dr_user.groups.add(dr_group) ||  ||         AuditLog.objects.create( ||             name='Exception Alert Forwarded', ||             action='Forwarded exception alert for review',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",AuditLog,Medium
inventory,inventory/tests.py,test_closed_exceptions_do_not_appear_in_dr_notifications,738,Group,Create,"self.assertContains(response, 'Exception ID not yet available') ||  ||     def test_closed_exceptions_do_not_appear_in_dr_notifications(self): ||         dr_group = Group.objects.create(name='DR Team') ||         dr_user = get_user_model().objects.create_user( ||             username='dr-closed-notify',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,Medium
inventory,inventory/tests.py,test_closed_exceptions_do_not_appear_in_dr_notifications,747,Shipment,Create,") ||         dr_user.groups.add(dr_group) ||  ||         shipment = Shipment.objects.create( ||             shipment_type='Off-Site Transfer', ||             status='Approved',",No,Yes,Critical,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_closed_exceptions_do_not_appear_in_dr_notifications,752,BankBranch,Create,"status='Approved', ||             source_location='Kampala North Branch', ||             destination_location='Mbarara Branch', ||             requesting_branch=BankBranch.objects.create(branch_code='KLA-002', branch_name='Kampala South Branch', status='Active'), ||             created_by=dr_user, ||         )",No,Yes,High,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_closed_exceptions_do_not_appear_in_dr_notifications,755,BankBranch,Create,"requesting_branch=BankBranch.objects.create(branch_code='KLA-002', branch_name='Kampala South Branch', status='Active'), ||             created_by=dr_user, ||         ) ||         exception = ShipmentException.objects.create( ||             shipment=shipment, ||             exception_id='EXC-CLOSED-001',",No,Yes,High,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",-,High
inventory,inventory/tests.py,test_closed_exceptions_do_not_appear_in_dr_notifications,764,AuditLog,Create,"severity='High', ||             status='Closed', ||         ) ||         AuditLog.objects.create( ||             name='Exception Alert Forwarded', ||             action='Forwarded closed exception alert for review',",No,Yes,Medium,"Wrap write in create_pending_approval(...), include request_payload, requested_changes, related_model and related_object_id. Leave UI/forms intact; replace commit path.",AuditLog,Medium
